Styles,Number of records
&,638
Aboriginal,1
Abstract,563
Acid,110
Acid House,22
Acid Jazz,22
Acid Rock,14
Acoustic,541
African,4
Afro-Cuban,14
Afro-Cuban Jazz,2
Afrobeat,14
Alternative Rock,2040
Ambient,1134
AOR,36
Arena Rock,38
Art Rock,280
Audiobook,22
Avant-garde Jazz,35
Avantgarde,286
Ballad,2307
Baroque,47
Bass Music,55
Bassline,8
Bayou Funk,1
Beat,52
Beatbox,4
Beatdown,3
Big Band,63
Big Beat,41
Black Metal,642
Bluegrass,9
Blues,116
Blues Rock,487
Bolero,10
Boogie,7
Boogie Woogie,3
Boom Bap,38
Bop,7
Bossa Nova,18
Bossanova,8
Bounce,10
Brass Band,73
Break-In,2
Breakbeat,223
Breakcore,23
Breaks,173
Brit Pop,20
Broken Beat,44
Bubblegum,6
Cajun,2
Canzone Napoletana,15
Celtic,5
Cha-Cha,9
Chanson,498
Charanga,1
Chicago Blues,8
Chillwave,8
Chinese Classical,1
Chiptune,26
Classic Rock,523
Classical,120
Cloud Rap,10
Coldwave,1
Comedy,39
Conjunto,1
Conscious,318
Contemporary,172
Contemporary Jazz,128
Contemporary R,5
Cool Jazz,23
Country,51
Country Blues,13
Country Rock,78
Crunk,28
Crust,69
Cubano,30
Cumbia,4
Cut-up/DJ,16
Dance-pop,139
Dancehall,19
Dark Ambient,617
Darkwave,123
Death Metal,409
Deathcore,8
Deathrock,1
Deep House,615
Deep Techno,28
Delta Blues,8
Dialogue,6
Disco,380
Dixieland,8
DJ Battle Tool,1
Doo Wop,1
Doom Metal,207
Doomcore,2
Downtempo,602
Drone,624
Drum,2
Drum n Bass,177
Dub,334
Dub Techno,173
Dubstep,135
Dungeon Synth,3
Early,7
Easy Listening,113
EBM,115
Education,5
Educational,16
Electric Blues,53
Electro,1580
Electro House,51
Electroclash,25
Emo,142
Éntekhno,12
Ethereal,25
Euro House,442
Euro-Disco,17
Eurobeat,60
Eurodance,461
Europop,2334
Experimental,1951
Fado,10
Favela Funk,4
Field Recording,76
Flamenco,4
Folk,5827
Folk Metal,22
Folk Rock,551
Free Funk,9
Free Improvisation,128
Free Jazz,68
Freestyle,26
Funeral Doom Metal,1
Funk,473
Funk Metal,16
Fusion,155
Future Jazz,31
G-Funk,12
Gabber,18
Gangsta,86
Garage House,18
Garage Rock,475
Ghetto,6
Ghetto House,10
Ghettotech,3
Glam,15
Glitch,137
Goa Trance,343
Goregrind,5
Gospel,29
Goth Rock,105
Gothic Metal,20
Grime,17
